"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 30일","2,108.33","2,124.38","2,134.38","2,108.26","708.60M","0.71%"
"2020년 06월 29일","2,093.48","2,105.54","2,120.50","2,087.84","643.16M","-1.93%"
"2020년 06월 26일","2,134.65","2,137.47","2,142.04","2,115.25","761.04M","1.05%"
"2020년 06월 25일","2,112.37","2,130.45","2,143.33","2,112.37","1.02B","-2.27%"
"2020년 06월 24일","2,161.51","2,145.93","2,171.86","2,143.91","913.90M","1.42%"
"2020년 06월 23일","2,131.24","2,149.13","2,158.15","2,110.51","917.57M","0.21%"
"2020년 06월 22일","2,126.73","2,126.38","2,142.88","2,122.10","789.37M","-0.68%"
"2020년 06월 19일","2,141.32","2,153.09","2,153.57","2,108.91","1.08B","0.37%"
"2020년 06월 18일","2,133.48","2,134.35","2,145.13","2,120.29","767.18M","-0.35%"
"2020년 06월 17일","2,141.05","2,133.18","2,154.37","2,105.26","927.52M","0.14%"
"2020년 06월 16일","2,138.05","2,091.09","2,138.08","2,079.02","973.64M","5.28%"
"2020년 06월 15일","2,030.82","2,114.41","2,129.67","2,030.82","1.07B","-4.76%"
"2020년 06월 12일","2,132.30","2,088.24","2,137.12","2,084.63","689.90M","-2.04%"
"2020년 06월 11일","2,176.78","2,184.36","2,200.72","2,148.51","827.38M","-0.86%"
"2020년 06월 10일","2,195.69","2,187.91","2,200.68","2,178.12","706.29M","0.31%"
"2020년 06월 09일","2,188.92","2,206.23","2,212.17","2,166.01","817.08M","0.21%"
"2020년 06월 08일","2,184.29","2,215.60","2,217.21","2,174.96","854.04M","0.11%"
"2020년 06월 05일","2,181.87","2,151.17","2,187.25","2,138.18","854.59M","1.43%"
"2020년 06월 04일","2,151.18","2,181.64","2,191.00","2,139.68","1.39B","0.19%"
"2020년 06월 03일","2,147.00","2,108.55","2,156.55","2,107.69","1.15B","2.87%"
"2020년 06월 02일","2,087.19","2,061.45","2,089.43","2,059.14","1.00B","1.07%"
"2020년 06월 01일","2,065.08","2,037.04","2,065.38","2,035.63","997.35M","1.75%"
"2020년 05월 29일","2,029.60","2,018.37","2,038.89","2,006.62","1.09B","0.05%"
"2020년 05월 28일","2,028.54","2,047.08","2,054.52","2,003.75","1.17B","-0.13%"
"2020년 05월 27일","2,031.20","2,027.90","2,043.44","2,019.82","1.18B","0.07%"
"2020년 05월 26일","2,029.78","2,001.00","2,029.89","1,997.94","1.02B","1.76%"
"2020년 05월 25일","1,994.60","1,980.51","1,994.90","1,967.84","641.46M","1.24%"
"2020년 05월 22일","1,970.13","2,001.60","2,002.65","1,961.40","847.47M","-1.41%"
"2020년 05월 21일","1,998.31","2,003.20","2,004.95","1,993.00","601.20M","0.44%"
"2020년 05월 20일","1,989.64","1,972.12","1,992.20","1,972.12","699.45M","0.46%"
"2020년 05월 19일","1,980.61","1,977.47","1,983.77","1,968.59","773.41M","2.25%"
"2020년 05월 18일","1,937.11","1,934.51","1,943.07","1,921.14","761.69M","0.51%"
"2020년 05월 15일","1,927.28","1,937.63","1,938.59","1,913.21","866.36M","0.12%"
"2020년 05월 14일","1,924.96","1,922.44","1,931.43","1,913.49","760.65M","-0.80%"
"2020년 05월 13일","1,940.42","1,897.50","1,940.42","1,897.24","618.78M","0.95%"
"2020년 05월 12일","1,922.17","1,938.62","1,938.62","1,905.17","799.93M","-0.68%"
"2020년 05월 11일","1,935.40","1,953.51","1,960.46","1,932.87","591.28M","-0.54%"
"2020년 05월 08일","1,945.82","1,944.94","1,956.89","1,942.54","784.77M","0.89%"
"2020년 05월 07일","1,928.61","1,922.00","1,938.50","1,918.57","775.66M","-0.01%"
"2020년 05월 06일","1,928.76","1,919.45","1,928.76","1,902.55","1.08B","1.76%"
"2020년 05월 04일","1,895.37","1,906.42","1,918.66","1,894.29","1.15B","-2.68%"
"2020년 04월 29일","1,947.56","1,936.89","1,957.51","1,934.31","1.98B","0.70%"
"2020년 04월 28일","1,934.09","1,931.25","1,941.79","1,911.63","1.17B","0.59%"
"2020년 04월 27일","1,922.77","1,897.06","1,929.82","1,894.62","735.66M","1.79%"
"2020년 04월 24일","1,889.01","1,906.07","1,908.29","1,880.71","933.92M","-1.34%"
"2020년 04월 23일","1,914.73","1,907.45","1,923.53","1,895.98","683.72M","0.98%"
"2020년 04월 22일","1,896.15","1,855.51","1,897.90","1,844.85","820.36M","0.89%"
"2020년 04월 21일","1,879.38","1,886.78","1,898.32","1,841.66","1.17B","-1.00%"
"2020년 04월 20일","1,898.36","1,908.34","1,925.25","1,893.17","1.09B","-0.84%"
"2020년 04월 17일","1,914.53","1,893.31","1,926.02","1,893.19","1.67B","3.09%"
"2020년 04월 16일","1,857.07","1,839.51","1,862.23","1,828.13","878.34M","-0.00%"
"2020년 04월 14일","1,857.08","1,846.41","1,864.46","1,837.17","886.77M","1.72%"
"2020년 04월 13일","1,825.76","1,853.30","1,853.30","1,825.76","1.02B","-1.88%"
"2020년 04월 10일","1,860.70","1,835.76","1,861.10","1,824.43","992.55M","1.33%"
"2020년 04월 09일","1,836.21","1,838.09","1,839.33","1,818.30","920.57M","1.61%"
"2020년 04월 08일","1,807.14","1,815.75","1,842.16","1,801.80","907.49M","-0.90%"
"2020년 04월 07일","1,823.60","1,826.72","1,838.97","1,791.92","951.74M","1.77%"
"2020년 04월 06일","1,791.88","1,745.25","1,794.19","1,742.67","1.22B","3.85%"
"2020년 04월 03일","1,725.44","1,731.17","1,743.91","1,706.68","1.00B","0.03%"
"2020년 04월 02일","1,724.86","1,693.53","1,726.76","1,664.13","766.31M","2.34%"
"2020년 04월 01일","1,685.46","1,737.28","1,762.44","1,685.37","1.24B","-3.94%"
"2020년 03월 31일","1,754.64","1,739.29","1,757.81","1,722.62","1.04B","2.19%"
"2020년 03월 30일","1,717.12","1,670.34","1,729.63","1,659.95","767.78M","-0.04%"
"2020년 03월 27일","1,717.73","1,756.07","1,759.05","1,668.21","1.08B","1.87%"
"2020년 03월 26일","1,686.24","1,699.11","1,735.75","1,679.23","992.47M","-1.09%"
"2020년 03월 25일","1,704.76","1,668.19","1,707.64","1,645.28","872.81M","5.89%"
"2020년 03월 24일","1,609.97","1,523.69","1,609.97","1,508.68","679.29M","8.60%"
"2020년 03월 23일","1,482.46","1,474.45","1,516.75","1,458.41","647.53M","-5.34%"
"2020년 03월 20일","1,566.15","1,498.49","1,566.82","1,466.48","817.02M","7.44%"
"2020년 03월 19일","1,457.64","1,626.09","1,626.09","1,439.43","977.67M","-8.39%"
"2020년 03월 18일","1,591.20","1,686.12","1,693.95","1,591.12","728.01M","-4.86%"
"2020년 03월 17일","1,672.44","1,640.84","1,722.97","1,637.88","649.78M","-2.47%"
"2020년 03월 16일","1,714.86","1,805.43","1,805.43","1,714.38","682.00M","-3.19%"
"2020년 03월 13일","1,771.44","1,722.68","1,809.31","1,680.60","1.04B","-3.43%"
"2020년 03월 12일","1,834.33","1,887.97","1,897.23","1,808.56","850.34M","-3.87%"
"2020년 03월 11일","1,908.27","1,965.67","1,967.70","1,898.27","679.72M","-2.78%"
"2020년 03월 10일","1,962.93","1,942.85","1,968.17","1,934.72","638.56M","0.42%"
"2020년 03월 09일","1,954.77","1,981.02","1,989.50","1,946.90","666.87M","-4.19%"
"2020년 03월 06일","2,040.22","2,053.09","2,062.57","2,032.13","865.59M","-2.16%"
"2020년 03월 05일","2,085.26","2,078.11","2,089.08","2,059.99","675.20M","1.26%"
"2020년 03월 04일","2,059.33","2,005.81","2,063.59","2,005.81","606.29M","2.24%"
"2020년 03월 03일","2,014.15","2,051.85","2,051.85","2,009.39","615.69M","0.58%"
"2020년 03월 02일","2,002.51","1,997.03","2,017.07","1,969.34","528.10M","0.78%"
"2020년 02월 28일","1,987.01","2,020.17","2,031.01","1,980.82","671.55M","-3.30%"
"2020년 02월 27일","2,054.89","2,073.87","2,085.40","2,049.15","562.77M","-1.05%"
"2020년 02월 26일","2,076.77","2,064.07","2,089.64","2,059.13","810.94M","-1.28%"
"2020년 02월 25일","2,103.61","2,075.55","2,105.49","2,071.50","1.57B","1.18%"
"2020년 02월 24일","2,079.04","2,114.04","2,120.06","2,079.03","948.62M","-3.87%"
"2020년 02월 21일","2,162.84","2,165.65","2,184.43","2,160.28","635.47M","-1.49%"
"2020년 02월 20일","2,195.50","2,223.55","2,228.18","2,186.72","709.56M","-0.67%"
"2020년 02월 19일","2,210.34","2,222.51","2,226.00","2,191.20","591.16M","0.07%"
"2020년 02월 18일","2,208.88","2,225.98","2,232.93","2,205.21","470.42M","-1.48%"
"2020년 02월 17일","2,242.17","2,243.07","2,250.05","2,230.26","458.25M","-0.06%"
"2020년 02월 14일","2,243.59","2,232.71","2,251.50","2,221.90","597.22M","0.48%"
"2020년 02월 13일","2,232.96","2,245.72","2,255.49","2,230.30","638.67M","-0.24%"
"2020년 02월 12일","2,238.38","2,225.95","2,242.24","2,214.77","632.46M","0.69%"
"2020년 02월 11일","2,223.12","2,213.50","2,233.32","2,211.25","526.21M","1.00%"
"2020년 02월 10일","2,201.07","2,185.63","2,203.39","2,180.51","609.57M","-0.49%"
"2020년 02월 07일","2,211.95","2,221.49","2,223.92","2,198.14","800.34M","-0.72%"
"2020년 02월 06일","2,227.94","2,184.77","2,229.99","2,182.25","695.22M","2.88%"
"2020년 02월 05일","2,165.63","2,177.26","2,181.52","2,154.88","574.40M","0.36%"
"2020년 02월 04일","2,157.90","2,121.22","2,162.32","2,120.53","624.64M","1.84%"
"2020년 02월 03일","2,118.88","2,086.61","2,126.73","2,082.74","836.70M","-0.01%"
"2020년 01월 31일","2,119.01","2,160.60","2,167.23","2,119.01","710.51M","-1.35%"
"2020년 01월 30일","2,148.00","2,181.54","2,187.45","2,139.72","602.84M","-1.71%"
"2020년 01월 29일","2,185.28","2,188.18","2,195.45","2,172.33","692.30M","0.39%"
"2020년 01월 28일","2,176.72","2,192.22","2,199.93","2,166.23","808.88M","-3.09%"
"2020년 01월 23일","2,246.13","2,254.54","2,260.63","2,241.94","509.61M","-0.93%"
"2020년 01월 22일","2,267.25","2,238.53","2,269.27","2,235.13","608.51M","1.23%"
"2020년 01월 21일","2,239.69","2,259.81","2,266.31","2,238.25","770.32M","-1.01%"
"2020년 01월 20일","2,262.64","2,261.40","2,277.23","2,258.09","545.49M","0.54%"
"2020년 01월 17일","2,250.57","2,261.57","2,268.71","2,245.58","580.82M","0.11%"
"2020년 01월 16일","2,248.05","2,231.93","2,249.09","2,225.41","808.33M","0.77%"
"2020년 01월 15일","2,230.98","2,229.80","2,238.21","2,223.39","746.16M","-0.35%"
"2020년 01월 14일","2,238.88","2,243.06","2,250.79","2,232.94","835.90M","0.43%"
"2020년 01월 13일","2,229.26","2,204.49","2,230.43","2,204.49","488.29M","1.04%"
"2020년 01월 10일","2,206.39","2,189.48","2,206.92","2,188.10","594.54M","0.91%"
"2020년 01월 09일","2,186.45","2,182.20","2,186.45","2,172.16","592.60M","1.63%"
"2020년 01월 08일","2,151.31","2,156.27","2,162.32","2,137.72","913.83M","-1.11%"
"2020년 01월 07일","2,175.54","2,166.60","2,181.62","2,164.27","568.24M","0.95%"
"2020년 01월 06일","2,155.07","2,154.97","2,164.42","2,149.95","592.67M","-0.98%"
"2020년 01월 03일","2,176.46","2,192.58","2,203.38","2,165.39","631.56M","0.06%"
"2020년 01월 02일","2,175.17","2,201.21","2,202.32","2,171.84","494.68M","-1.02%"
"2019년 12월 30일","2,197.67","2,202.62","2,208.04","2,195.65","416.40M","-0.30%"
"2019년 12월 27일","2,204.21","2,183.70","2,215.55","2,177.40","490.17M","0.29%"
"2019년 12월 26일","2,197.93","2,192.22","2,198.01","2,183.90","571.31M","0.36%"
"2019년 12월 24일","2,190.08","2,206.23","2,206.23","2,187.58","569.97M","-0.62%"
"2019년 12월 23일","2,203.71","2,208.22","2,209.20","2,196.43","502.03M","-0.02%"
"2019년 12월 20일","2,204.18","2,205.57","2,206.82","2,194.80","646.68M","0.35%"
"2019년 12월 19일","2,196.56","2,199.42","2,204.73","2,186.59","643.14M","0.08%"
"2019년 12월 18일","2,194.76","2,194.92","2,204.04","2,187.32","591.11M","-0.04%"
"2019년 12월 17일","2,195.68","2,179.40","2,196.01","2,171.09","599.53M","1.27%"
"2019년 12월 16일","2,168.15","2,168.05","2,175.01","2,166.29","377.05M","-0.10%"
"2019년 12월 13일","2,170.25","2,164.63","2,170.25","2,159.45","540.03M","1.54%"
"2019년 12월 12일","2,137.35","2,120.13","2,138.93","2,120.13","584.64M","1.51%"
"2019년 12월 11일","2,105.62","2,098.28","2,109.22","2,092.48","668.73M","0.36%"
"2019년 12월 10일","2,098.00","2,081.22","2,100.48","2,080.16","500.06M","0.45%"
"2019년 12월 09일","2,088.65","2,091.94","2,093.81","2,084.31","393.13M","0.33%"
"2019년 12월 06일","2,081.85","2,072.44","2,084.44","2,070.17","440.19M","1.02%"
"2019년 12월 05일","2,060.74","2,078.31","2,084.29","2,053.56","472.19M","-0.39%"
"2019년 12월 04일","2,068.89","2,070.84","2,072.91","2,057.45","347.00M","-0.73%"
"2019년 12월 03일","2,084.07","2,075.02","2,085.71","2,066.60","450.04M","-0.38%"
"2019년 12월 02일","2,091.92","2,097.55","2,103.87","2,088.92","385.34M","0.19%"
"2019년 11월 29일","2,087.96","2,125.53","2,125.53","2,085.10","433.26M","-1.45%"
"2019년 11월 28일","2,118.60","2,116.93","2,127.75","2,116.58","335.23M","-0.43%"
"2019년 11월 27일","2,127.85","2,134.47","2,136.30","2,118.07","367.80M","0.31%"
"2019년 11월 26일","2,121.35","2,129.27","2,139.64","2,120.85","532.60M","-0.10%"
"2019년 11월 25일","2,123.50","2,117.14","2,130.04","2,116.07","397.68M","1.02%"
"2019년 11월 22일","2,101.96","2,098.89","2,106.42","2,093.99","519.85M","0.26%"
"2019년 11월 21일","2,096.60","2,123.65","2,125.36","2,088.19","579.55M","-1.35%"
"2019년 11월 20일","2,125.32","2,140.06","2,145.97","2,123.80","581.06M","-1.30%"
"2019년 11월 19일","2,153.24","2,151.04","2,154.41","2,137.01","826.88M","-0.34%"
"2019년 11월 18일","2,160.69","2,161.89","2,165.89","2,151.97","489.23M","-0.07%"
"2019년 11월 15일","2,162.18","2,137.96","2,165.02","2,135.26","556.25M","1.07%"
"2019년 11월 14일","2,139.23","2,127.54","2,139.23","2,121.32","521.11M","0.79%"
"2019년 11월 13일","2,122.45","2,132.48","2,133.37","2,118.67","664.36M","-0.86%"
"2019년 11월 12일","2,140.92","2,131.26","2,140.94","2,121.80","610.43M","0.79%"
"2019년 11월 11일","2,124.09","2,139.07","2,139.07","2,119.07","617.27M","-0.61%"
"2019년 11월 08일","2,137.23","2,154.18","2,155.94","2,133.75","574.13M","-0.33%"
"2019년 11월 07일","2,144.29","2,141.05","2,147.01","2,135.45","425.66M","0.01%"
"2019년 11월 06일","2,144.15","2,142.69","2,156.23","2,138.83","410.08M","0.07%"
"2019년 11월 05일","2,142.64","2,133.66","2,143.12","2,128.70","400.64M","0.58%"
"2019년 11월 04일","2,130.24","2,111.32","2,130.83","2,111.32","476.26M","1.43%"
"2019년 11월 01일","2,100.20","2,084.79","2,100.42","2,081.53","418.31M","0.80%"
"2019년 10월 31일","2,083.48","2,089.22","2,103.71","2,083.48","461.32M","0.15%"
"2019년 10월 30일","2,080.27","2,093.51","2,093.51","2,075.54","415.55M","-0.59%"
"2019년 10월 29일","2,092.69","2,103.92","2,105.17","2,088.04","357.66M","-0.04%"
"2019년 10월 28일","2,093.60","2,096.67","2,104.39","2,089.76","269.23M","0.27%"
"2019년 10월 25일","2,087.89","2,091.16","2,091.24","2,079.30","348.69M","0.11%"
"2019년 10월 24일","2,085.66","2,089.85","2,089.85","2,067.90","367.72M","0.24%"
"2019년 10월 23일","2,080.62","2,086.81","2,088.25","2,074.88","429.45M","-0.39%"
"2019년 10월 22일","2,088.86","2,076.29","2,093.81","2,073.08","504.06M","1.16%"
"2019년 10월 21일","2,064.84","2,067.97","2,067.97","2,059.33","606.11M","0.20%"
"2019년 10월 18일","2,060.69","2,082.23","2,088.54","2,057.89","516.69M","-0.83%"
"2019년 10월 17일","2,077.94","2,081.76","2,087.15","2,072.49","314.18M","-0.23%"
"2019년 10월 16일","2,082.83","2,080.92","2,090.01","2,073.80","524.54M","0.71%"
"2019년 10월 15일","2,068.17","2,064.78","2,073.21","2,064.34","464.53M","0.04%"
"2019년 10월 14일","2,067.40","2,068.13","2,075.10","2,065.53","511.22M","1.11%"
"2019년 10월 11일","2,044.61","2,048.08","2,053.94","2,040.48","381.15M","0.81%"
"2019년 10월 10일","2,028.15","2,030.13","2,040.88","2,010.90","445.85M","-0.88%"
"2019년 10월 08일","2,046.25","2,029.37","2,046.81","2,024.63","437.52M","1.21%"
"2019년 10월 07일","2,021.73","2,031.53","2,034.94","2,016.19","322.18M","0.05%"
"2019년 10월 04일","2,020.69","2,028.40","2,039.43","2,020.69","402.94M","-0.55%"
"2019년 10월 02일","2,031.91","2,058.23","2,058.23","2,031.91","414.46M","-1.95%"
"2019년 10월 01일","2,072.42","2,062.44","2,077.48","2,057.91","389.34M","0.45%"
"2019년 09월 30일","2,063.05","2,045.77","2,064.99","2,042.01","327.62M","0.64%"
"2019년 09월 27일","2,049.93","2,066.96","2,066.96","2,044.75","285.94M","-1.19%"
"2019년 09월 26일","2,074.52","2,082.66","2,087.33","2,064.34","430.58M","0.05%"
"2019년 09월 25일","2,073.39","2,093.47","2,095.27","2,072.41","651.55M","-1.32%"
"2019년 09월 24일","2,101.04","2,090.19","2,101.63","2,085.91","535.77M","0.45%"
"2019년 09월 23일","2,091.70","2,087.70","2,095.54","2,085.60","420.95M","0.01%"
"2019년 09월 20일","2,091.52","2,080.86","2,092.37","2,077.30","589.92M","0.54%"
"2019년 09월 19일","2,080.35","2,070.53","2,089.81","2,070.53","493.04M","0.46%"
"2019년 09월 18일","2,070.73","2,064.42","2,075.63","2,058.52","613.15M","0.41%"
"2019년 09월 17일","2,062.33","2,058.72","2,066.33","2,055.17","508.00M","0.01%"
"2019년 09월 16일","2,062.22","2,056.26","2,062.22","2,044.80","493.52M","0.64%"
"2019년 09월 11일","2,049.20","2,043.72","2,050.80","2,040.04","429.08M","0.84%"
"2019년 09월 10일","2,032.08","2,024.79","2,034.28","2,021.58","504.39M","0.62%"
"2019년 09월 09일","2,019.55","2,013.38","2,029.80","2,013.28","511.82M","0.52%"
"2019년 09월 06일","2,009.13","2,016.11","2,017.20","2,005.69","384.44M","0.22%"
"2019년 09월 05일","2,004.75","1,993.62","2,015.39","1,992.51","488.07M","0.82%"
"2019년 09월 04일","1,988.53","1,962.43","1,988.53","1,962.08","348.72M","1.16%"
"2019년 09월 03일","1,965.69","1,966.50","1,976.37","1,960.15","342.08M","-0.18%"
"2019년 09월 02일","1,969.19","1,961.19","1,973.25","1,958.59","262.15M","0.07%"
"2019년 08월 30일","1,967.79","1,951.66","1,971.21","1,951.30","317.73M","1.78%"
"2019년 08월 29일","1,933.41","1,943.55","1,947.15","1,928.49","285.10M","-0.40%"
"2019년 08월 28일","1,941.09","1,929.96","1,943.62","1,926.43","284.34M","0.86%"
"2019년 08월 27일","1,924.60","1,928.98","1,937.42","1,919.28","427.04M","0.43%"
"2019년 08월 26일","1,916.31","1,915.34","1,924.49","1,909.92","324.85M","-1.64%"
"2019년 08월 23일","1,948.30","1,942.42","1,953.85","1,940.60","381.09M","-0.14%"
"2019년 08월 22일","1,951.01","1,966.60","1,967.96","1,951.01","435.56M","-0.69%"
"2019년 08월 21일","1,964.65","1,954.57","1,971.12","1,954.47","391.57M","0.22%"
"2019년 08월 20일","1,960.25","1,942.99","1,964.16","1,937.53","463.60M","1.05%"
"2019년 08월 19일","1,939.90","1,936.64","1,943.09","1,931.44","481.02M","0.66%"
"2019년 08월 16일","1,927.17","1,921.49","1,927.70","1,911.72","421.68M","-0.58%"
"2019년 08월 14일","1,938.37","1,946.18","1,952.22","1,937.23","699.59M","0.65%"
"2019년 08월 13일","1,925.83","1,928.76","1,937.68","1,923.58","660.04M","-0.85%"
"2019년 08월 12일","1,942.29","1,941.53","1,949.19","1,933.25","427.14M","0.23%"
"2019년 08월 09일","1,937.75","1,940.06","1,946.94","1,936.14","654.34M","0.89%"
"2019년 08월 08일","1,920.61","1,926.28","1,937.95","1,915.81","777.16M","0.57%"
"2019년 08월 07일","1,909.71","1,925.33","1,929.29","1,901.61","760.78M","-0.41%"
"2019년 08월 06일","1,917.50","1,900.36","1,948.53","1,891.81","739.59M","-1.51%"
"2019년 08월 05일","1,946.98","1,985.93","1,987.64","1,945.39","639.60M","-2.56%"
"2019년 08월 02일","1,998.13","1,995.31","2,005.31","1,987.12","438.54M","-0.95%"
"2019년 08월 01일","2,017.34","2,015.09","2,032.23","2,009.33","461.74M","-0.36%"
"2019년 07월 31일","2,024.55","2,036.46","2,041.16","2,010.95","589.39M","-0.69%"
"2019년 07월 30일","2,038.68","2,035.32","2,044.59","2,032.61","547.03M","0.45%"
"2019년 07월 29일","2,029.48","2,059.13","2,063.13","2,025.01","608.67M","-1.78%"
"2019년 07월 26일","2,066.26","2,063.35","2,068.16","2,054.64","589.07M","-0.40%"
"2019년 07월 25일","2,074.48","2,085.67","2,088.81","2,061.08","598.63M","-0.38%"
"2019년 07월 24일","2,082.30","2,097.16","2,105.68","2,080.66","851.39M","-0.91%"
"2019년 07월 23일","2,101.45","2,095.76","2,106.39","2,095.38","648.12M","0.39%"
"2019년 07월 22일","2,093.34","2,090.35","2,099.34","2,087.51","332.63M","-0.05%"
"2019년 07월 19일","2,094.36","2,080.21","2,096.73","2,076.51","394.90M","1.35%"
"2019년 07월 18일","2,066.55","2,068.66","2,073.20","2,061.33","446.64M","-0.31%"
"2019년 07월 17일","2,072.92","2,079.91","2,080.01","2,063.49","761.63M","-0.91%"
"2019년 07월 16일","2,091.87","2,084.46","2,096.67","2,078.74","682.80M","0.45%"
"2019년 07월 15일","2,082.48","2,083.39","2,088.34","2,073.10","463.52M","-0.20%"
"2019년 07월 12일","2,086.66","2,083.53","2,090.43","2,077.35","403.94M","0.29%"
"2019년 07월 11일","2,080.58","2,070.59","2,088.24","2,070.21","376.68M","1.06%"
"2019년 07월 10일","2,058.78","2,061.55","2,068.20","2,056.48","355.68M","0.33%"
"2019년 07월 09일","2,052.03","2,070.35","2,075.30","2,052.03","440.12M","-0.59%"
"2019년 07월 08일","2,064.17","2,091.91","2,092.54","2,063.78","515.95M","-2.20%"
"2019년 07월 05일","2,110.59","2,111.00","2,115.43","2,096.23","459.39M","0.09%"
"2019년 07월 04일","2,108.73","2,102.36","2,108.80","2,088.97","446.93M","0.61%"
"2019년 07월 03일","2,096.02","2,120.75","2,127.71","2,093.32","522.71M","-1.23%"
"2019년 07월 02일","2,122.02","2,122.07","2,130.86","2,112.52","460.83M","-0.36%"
"2019년 07월 01일","2,129.74","2,147.24","2,147.24","2,126.87","412.29M","-0.04%"
"2019년 06월 28일","2,130.62","2,135.06","2,139.24","2,123.97","537.27M","-0.17%"
"2019년 06월 27일","2,134.32","2,120.73","2,141.27","2,118.22","644.90M","0.59%"
"2019년 06월 26일","2,121.85","2,120.20","2,128.25","2,115.72","736.85M","0.01%"
"2019년 06월 25일","2,121.64","2,125.74","2,136.24","2,115.11","643.00M","-0.22%"
"2019년 06월 24일","2,126.33","2,130.32","2,134.48","2,123.88","669.64M","0.03%"
"2019년 06월 21일","2,125.62","2,132.38","2,132.68","2,120.15","692.03M","-0.27%"
"2019년 06월 20일","2,131.29","2,121.78","2,131.77","2,120.42","1.01B","0.31%"
"2019년 06월 19일","2,124.78","2,119.54","2,126.74","2,117.64","862.98M","1.24%"
"2019년 06월 18일","2,098.71","2,089.31","2,103.02","2,089.31","600.96M","0.38%"
"2019년 06월 17일","2,090.73","2,091.71","2,103.59","2,087.25","561.55M","-0.22%"
"2019년 06월 14일","2,095.41","2,096.32","2,103.02","2,087.47","473.37M","-0.37%"
"2019년 06월 13일","2,103.15","2,104.46","2,108.01","2,081.92","553.39M","-0.27%"
"2019년 06월 12일","2,108.75","2,111.66","2,118.89","2,104.41","693.51M","-0.14%"
"2019년 06월 11일","2,111.81","2,096.09","2,114.57","2,094.60","550.74M","0.59%"
"2019년 06월 10일","2,099.49","2,087.37","2,099.65","2,075.51","457.64M","1.31%"
"2019년 06월 07일","2,072.33","2,070.78","2,081.16","2,057.97","368.39M","0.16%"
"2019년 06월 05일","2,069.11","2,084.16","2,086.49","2,065.71","380.16M","0.10%"
"2019년 06월 04일","2,066.97","2,066.78","2,072.19","2,060.98","435.99M","-0.04%"
"2019년 06월 03일","2,067.85","2,031.03","2,070.58","2,029.17","387.14M","1.28%"
"2019년 05월 31일","2,041.74","2,029.03","2,048.90","2,022.97","439.18M","0.14%"
"2019년 05월 30일","2,038.80","2,024.33","2,040.66","2,023.91","461.85M","0.77%"
"2019년 05월 29일","2,023.32","2,046.71","2,046.71","2,016.25","380.89M","-1.25%"
"2019년 05월 28일","2,048.83","2,044.77","2,058.42","2,038.52","494.48M","0.23%"
"2019년 05월 27일","2,044.21","2,044.25","2,055.13","2,035.87","351.62M","-0.05%"
"2019년 05월 24일","2,045.31","2,047.30","2,057.38","2,035.98","480.65M","-0.69%"
"2019년 05월 23일","2,059.59","2,063.25","2,065.86","2,046.82","509.27M","-0.26%"
"2019년 05월 22일","2,064.86","2,068.65","2,070.80","2,048.01","509.97M","0.18%"
"2019년 05월 21일","2,061.25","2,056.95","2,076.47","2,053.69","526.86M","0.27%"
"2019년 05월 20일","2,055.71","2,066.53","2,077.10","2,051.69","640.20M","-0.00%"
"2019년 05월 17일","2,055.80","2,081.57","2,082.83","2,053.79","537.38M","-0.58%"
"2019년 05월 16일","2,067.69","2,094.88","2,095.58","2,062.44","745.16M","-1.20%"
"2019년 05월 15일","2,092.78","2,081.92","2,100.01","2,076.46","577.79M","0.53%"
"2019년 05월 14일","2,081.84","2,060.24","2,093.41","2,056.74","696.20M","0.14%"
"2019년 05월 13일","2,079.01","2,091.80","2,101.09","2,077.72","505.75M","-1.38%"
"2019년 05월 10일","2,108.04","2,118.42","2,124.92","2,090.39","714.77M","0.29%"
"2019년 05월 09일","2,102.01","2,159.79","2,164.98","2,102.01","743.51M","-3.04%"
"2019년 05월 08일","2,168.01","2,151.34","2,179.34","2,151.34","456.33M","-0.41%"
"2019년 05월 07일","2,176.99","2,172.39","2,179.51","2,160.44","484.10M","-0.88%"
"2019년 05월 03일","2,196.32","2,209.44","2,211.36","2,192.36","617.88M","-0.74%"
"2019년 05월 02일","2,212.75","2,192.94","2,217.03","2,191.30","369.06M","0.42%"
"2019년 04월 30일","2,203.59","2,213.43","2,215.77","2,186.33","381.41M","-0.58%"
"2019년 04월 29일","2,216.43","2,183.41","2,216.43","2,181.82","380.82M","1.70%"
"2019년 04월 26일","2,179.31","2,178.13","2,186.52","2,168.15","570.17M","-0.51%"
"2019년 04월 25일","2,190.50","2,195.47","2,200.89","2,187.44","441.14M","-0.48%"
"2019년 04월 24일","2,201.03","2,229.75","2,229.75","2,190.29","575.10M","-0.88%"
"2019년 04월 23일","2,220.51","2,217.61","2,223.92","2,212.14","481.18M","0.17%"
"2019년 04월 22일","2,216.65","2,218.50","2,227.94","2,207.25","493.98M","0.02%"
"2019년 04월 19일","2,216.15","2,223.42","2,225.37","2,215.58","525.26M","0.11%"
"2019년 04월 18일","2,213.77","2,248.80","2,250.11","2,210.43","573.34M","-1.43%"
"2019년 04월 17일","2,245.89","2,249.05","2,252.05","2,242.01","452.47M","-0.12%"
"2019년 04월 16일","2,248.63","2,241.06","2,249.89","2,235.72","569.06M","0.26%"
"2019년 04월 15일","2,242.88","2,242.31","2,251.22","2,240.29","404.16M","0.42%"
