"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 30일","1,820.40","1,803.70","1,823.50","1,794.00","8.60K","1.13%"
"2020년 06월 29일","1,800.10","1,807.30","1,808.60","1,795.30","4.16K","0.09%"
"2020년 06월 26일","1,798.50","1,792.50","1,804.00","1,772.00","4.76K","0.56%"
"2020년 06월 25일","1,788.40","1,789.30","1,796.60","1,781.60","6.30K","-0.23%"
"2020년 06월 24일","1,792.60","1,800.40","1,810.70","1,787.80","8.73K","-0.25%"
"2020년 06월 23일","1,797.10","1,780.00","1,801.50","1,774.00","4.07K","0.86%"
"2020년 06월 22일","1,781.70","1,780.30","1,793.60","1,769.00","5.87K","0.74%"
"2020년 06월 19일","1,768.60","1,746.60","1,775.60","1,745.50","8.36K","1.18%"
"2020년 06월 18일","1,747.90","1,752.90","1,765.20","1,739.60","4.78K","-0.31%"
"2020년 06월 17일","1,753.40","1,751.50","1,756.80","1,735.60","3.83K","-0.06%"
"2020년 06월 16일","1,754.40","1,751.40","1,757.50","1,739.80","4.23K","0.54%"
"2020년 06월 15일","1,744.90","1,759.10","1,759.60","1,724.60","4.43K","-0.59%"
"2020년 06월 12일","1,755.20","1,751.70","1,770.50","1,746.90","3.61K","-0.14%"
"2020년 06월 11일","1,757.60","1,764.90","1,772.60","1,746.00","6.57K","1.07%"
"2020년 06월 10일","1,739.00","1,737.70","1,767.00","1,732.80","8.14K","-0.07%"
"2020년 06월 09일","1,740.30","1,724.90","1,747.50","1,715.90","6.82K","0.96%"
"2020년 06월 08일","1,723.80","1,706.10","1,726.00","1,700.10","4.83K","1.29%"
"2020년 06월 05일","1,701.90","1,740.20","1,741.90","1,690.10","9.81K","-2.55%"
"2020년 06월 04일","1,746.40","1,721.00","1,747.30","1,718.50","5.81K","1.33%"
"2020년 06월 03일","1,723.50","1,750.30","1,754.10","1,707.50","7.57K","-1.50%"
"2020년 06월 02일","1,749.70","1,766.20","1,771.00","1,743.40","4.99K","-0.79%"
"2020년 06월 01일","1,763.70","1,763.10","1,774.50","1,751.60","3.29K","-0.11%"
"2020년 05월 29일","1,765.70","1,748.70","1,767.10","1,740.70","6.42K","1.32%"
"2020년 05월 28일","1,742.70","1,737.50","1,757.30","1,734.30","4.17K","0.13%"
"2020년 05월 27일","1,740.50","1,738.80","1,743.30","1,714.80","6.08K","0.00%"
"2020년 05월 26일","1,740.50","1,761.00","1,768.00","1,734.80","6.03K","0.78%"
"2020년 05월 25일","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"2020년 05월 24일","1,730.65","1,735.45","1,735.90","1,729.80","-","-1.98%"
"2020년 05월 22일","1,765.60","1,755.90","1,768.30","1,750.60","8.36K","0.87%"
"2020년 05월 21일","1,750.40","1,778.80","1,779.80","1,743.80","5.87K","-1.76%"
"2020년 05월 20일","1,781.70","1,777.70","1,785.10","1,773.00","4.20K","0.47%"
"2020년 05월 19일","1,773.40","1,763.00","1,779.60","1,754.20","4.33K","0.73%"
"2020년 05월 18일","1,760.60","1,780.00","1,800.00","1,756.20","4.07K","-1.02%"
"2020년 05월 15일","1,778.70","1,760.10","1,783.00","1,758.00","5.54K","0.95%"
"2020년 05월 14일","1,762.00","1,743.30","1,765.10","1,735.00","4.05K","1.42%"
"2020년 05월 13일","1,737.30","1,726.60","1,744.50","1,721.00","6.18K","0.54%"
"2020년 05월 12일","1,728.00","1,721.10","1,737.20","1,717.00","5.81K","0.41%"
"2020년 05월 11일","1,720.90","1,727.70","1,734.20","1,714.20","6.37K","-0.82%"
"2020년 05월 08일","1,735.20","1,743.50","1,752.70","1,724.50","8.13K","-0.49%"
"2020년 05월 07일","1,743.70","1,706.40","1,750.50","1,704.50","8.26K","2.31%"
"2020년 05월 06일","1,704.40","1,730.50","1,733.40","1,698.80","5.81K","-1.37%"
"2020년 05월 05일","1,728.00","1,719.00","1,733.70","1,710.50","8.37K","0.12%"
"2020년 05월 04일","1,725.90","1,722.90","1,735.50","1,711.80","3.35K","0.81%"
"2020년 05월 01일","1,712.00","1,705.70","1,723.10","1,688.00","2.33K","0.42%"
"2020년 04월 30일","1,704.90","1,737.00","1,745.00","1,697.70","3.80K","-1.02%"
"2020년 04월 29일","1,722.40","1,735.00","1,741.80","1,718.00","1.90K","-0.51%"
"2020년 04월 28일","1,731.20","1,731.80","1,740.00","1,712.70","3.06K","-0.01%"
"2020년 04월 27일","1,731.40","1,746.70","1,753.00","1,726.80","2.90K","-0.59%"
"2020년 04월 24일","1,741.70","1,754.40","1,765.50","1,733.00","2.26K","-0.53%"
"2020년 04월 23일","1,751.00","1,741.40","1,769.20","1,736.00","3.79K","0.43%"
"2020년 04월 22일","1,743.50","1,707.60","1,747.10","1,700.00","2.50K","3.04%"
"2020년 04월 21일","1,692.10","1,717.60","1,720.80","1,670.30","2.73K","-1.35%"
"2020년 04월 20일","1,715.30","1,697.20","1,722.00","1,689.20","2.52K","0.74%"
"2020년 04월 17일","1,702.70","1,740.70","1,741.30","1,695.50","4.41K","-1.94%"
"2020년 04월 16일","1,736.30","1,744.00","1,771.20","1,727.60","3.83K","-0.48%"
"2020년 04월 15일","1,744.70","1,760.70","1,762.70","1,736.40","3.86K","-1.50%"
"2020년 04월 14일","1,771.20","1,768.00","1,789.50","1,750.00","7.09K","0.48%"
"2020년 04월 13일","1,762.70","1,741.60","1,773.50","1,725.00","4.15K","1.27%"
"2020년 04월 10일","1,740.60","1,740.60","1,740.60","1,740.60","-","-0.74%"
"2020년 04월 09일","1,753.60","1,679.20","1,754.30","1,679.20","9.30K","4.13%"
"2020년 04월 08일","1,684.10","1,680.10","1,693.90","1,673.90","3.33K","0.02%"
"2020년 04월 07일","1,683.70","1,713.10","1,740.80","1,674.30","7.05K","-0.56%"
"2020년 04월 06일","1,693.10","1,649.50","1,713.50","1,640.00","4.04K","2.83%"
"2020년 04월 03일","1,646.50","1,639.00","1,651.50","1,625.30","3.02K","0.46%"
"2020년 04월 02일","1,638.90","1,607.00","1,645.20","1,596.70","3.42K","2.91%"
"2020년 04월 01일","1,592.50","1,580.00","1,611.00","1,577.70","3.25K","-0.32%"
"2020년 03월 31일","1,597.60","1,640.10","1,642.20","1,590.80","3.35K","-2.83%"
"2020년 03월 30일","1,644.10","1,665.70","1,672.50","1,634.60","2.89K","-0.66%"
"2020년 03월 27일","1,655.00","1,653.60","1,659.30","1,631.90","6.37K","-0.42%"
"2020년 03월 26일","1,662.00","1,639.60","1,678.00","1,615.00","7.61K","1.76%"
"2020년 03월 25일","1,633.30","1,688.00","1,695.00","1,607.50","5.34K","-1.79%"
"2020년 03월 24일","1,663.00","1,578.00","1,691.40","1,578.00","9.56K","5.16%"
"2020년 03월 23일","1,581.40","1,520.00","1,583.70","1,498.90","3.14K","5.77%"
"2020년 03월 20일","1,495.10","1,468.00","1,530.00","1,468.00","4.16K","0.38%"
"2020년 03월 19일","1,489.40","1,496.60","1,508.00","1,476.90","2.21K","0.15%"
"2020년 03월 18일","1,487.10","1,547.00","1,551.10","1,485.20","2.49K","-3.06%"
"2020년 03월 17일","1,534.10","1,504.50","1,561.50","1,476.30","3.41K","2.70%"
"2020년 03월 16일","1,493.80","1,573.00","1,578.60","1,458.80","2.74K","-2.04%"
"2020년 03월 13일","1,524.90","1,592.60","1,604.20","1,514.30","2.51K","-4.62%"
"2020년 03월 12일","1,598.80","1,648.60","1,655.20","1,568.70","3.05K","-3.15%"
"2020년 03월 11일","1,650.80","1,657.90","1,677.60","1,641.70","4.20K","-1.09%"
"2020년 03월 10일","1,669.00","1,675.00","1,679.30","1,651.50","3.67K","-0.90%"
"2020년 03월 09일","1,684.10","1,700.00","1,712.10","1,668.10","3.54K","0.07%"
"2020년 03월 06일","1,683.00","1,683.60","1,703.60","1,657.70","4.50K","0.15%"
"2020년 03월 05일","1,680.40","1,653.40","1,687.20","1,653.00","2.37K","1.44%"
"2020년 03월 04일","1,656.50","1,660.10","1,661.10","1,647.30","3.92K","-0.14%"
"2020년 03월 03일","1,658.80","1,606.50","1,663.80","1,606.50","3.14K","3.05%"
"2020년 03월 02일","1,609.70","1,609.10","1,626.00","1,593.90","2.37K","1.65%"
"2020년 02월 28일","1,583.60","1,667.10","1,667.10","1,582.00","6.31K","-4.68%"
"2020년 02월 27일","1,661.40","1,668.00","1,680.30","1,656.00","3.96K","-0.09%"
"2020년 02월 26일","1,662.90","1,656.40","1,676.70","1,646.70","3.59K","-0.44%"
"2020년 02월 25일","1,670.20","1,681.60","1,681.60","1,650.00","3.36K","-1.59%"
"2020년 02월 24일","1,697.10","1,673.30","1,711.80","1,673.30","9.96K","1.68%"
"2020년 02월 21일","1,669.10","1,645.50","1,671.20","1,642.40","1.86K","1.72%"
"2020년 02월 20일","1,640.80","1,634.00","1,645.50","1,627.70","1.31K","0.53%"
"2020년 02월 19일","1,632.20","1,625.00","1,634.80","1,623.30","1.40K","0.50%"
"2020년 02월 18일","1,624.00","1,605.00","1,628.30","1,603.50","1.62K","2.33%"
"2020년 02월 17일","1,587.05","1,586.15","1,588.45","1,581.85","-","0.05%"
"2020년 02월 16일","1,586.25","1,585.50","1,586.25","1,583.45","-","-1.29%"
"2020년 02월 14일","1,606.90","1,601.00","1,608.40","1,597.30","1.56K","0.46%"
"2020년 02월 13일","1,599.60","1,594.40","1,602.00","1,594.00","1.73K","0.45%"
"2020년 02월 12일","1,592.40","1,590.80","1,593.90","1,587.50","2.05K","0.08%"
"2020년 02월 11일","1,591.10","1,597.30","1,597.90","1,587.10","1.86K","-0.60%"
"2020년 02월 10일","1,600.70","1,599.50","1,601.50","1,594.20","1.66K","0.36%"
"2020년 02월 07일","1,595.00","1,591.00","1,598.30","1,588.40","0.84K","0.21%"
"2020년 02월 06일","1,591.70","1,580.70","1,592.40","1,579.30","1.31K","0.44%"
